TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,STAT,VALUE,SEASON,PLAYER_IMAGE_URL
LAL,1629029,Luka Doncic,AST,8.3,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png
LAL,1629028,Deandre Ayton,REB,8.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png
GSW,201939,Stephen Curry,PTS,26.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png
GSW,203110,Draymond Green,AST,5.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png
GSW,202710,Jimmy Butler III,REB,5.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png
ORL,1631094,Paolo Banchero,PTS,22.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1631094.png
ORL,1630591,Jalen Suggs,AST,5.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630591.png
ORL,1631094,Paolo Banchero,REB,8.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1631094.png
WAS,203076,Anthony Davis,PTS,20.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png
WAS,1629027,Trae Young,AST,8.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png
WAS,203076,Anthony Davis,REB,11.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png
BOS,1627759,Jaylen Brown,PTS,28.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png
BOS,1628401,Derrick White,AST,5.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png
BOS,1628369,Jayson Tatum,REB,10.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png
PHX,1626164,Devin Booker,PTS,26.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1626164.png
PHX,1626164,Devin Booker,AST,6.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1626164.png
PHX,1631109,Mark Williams,REB,8.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1631109.png
MIA,1626181,Norman Powell,PTS,21.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png
MIA,1630558,Davion Mitchell,AST,6.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630558.png
MIA,1628389,Bam Adebayo,REB,10.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png
CHI,1630581,Josh Giddey,PTS,17.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630581.png
CHI,1630581,Josh Giddey,AST,9.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630581.png
CHI,1630581,Josh Giddey,REB,8.3,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630581.png
MIN,1630162,Anthony Edwards,PTS,28.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png
MIN,203944,Julius Randle,AST,5.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203944.png
MIN,203497,Rudy Gobert,REB,11.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203497.png
CHA,1641706,Brandon Miller,PTS,20.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1641706.png
CHA,1630163,LaMelo Ball,AST,7.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png
CHA,1631217,Moussa Diabate,REB,8.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1631217.png
NYK,1628973,Jalen Brunson,PTS,26.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628973.png
NYK,1628973,Jalen Brunson,AST,6.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628973.png
NYK,1626157,Karl-Anthony Towns,REB,11.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1626157.png
ATL,1630552,Jalen Johnson,PTS,22.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png
ATL,1630552,Jalen Johnson,AST,7.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png
ATL,1630552,Jalen Johnson,REB,10.3,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png
DET,1630595,Cade Cunningham,PTS,23.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630595.png
DET,1630595,Cade Cunningham,AST,9.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630595.png
DET,1631105,Jalen Duren,REB,10.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1631105.png
BKN,1629008,Michael Porter Jr.,PTS,24.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629008.png
BKN,1642849,Nolan Traore,AST,3.8,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642849.png
BKN,1629008,Michael Porter Jr.,REB,7.1,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629008.png
LAC,202695,Kawhi Leonard,PTS,27.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/202695.png
LAC,1629636,Darius Garland,AST,6.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png
LAC,202695,Kawhi Leonard,REB,6.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/202695.png
SAS,1641705,Victor Wembanyama,PTS,25.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1641705.png
SAS,1642264,Stephon Castle,AST,7.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642264.png
SAS,1641705,Victor Wembanyama,REB,11.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1641705.png
POR,1630166,Deni Avdija,PTS,24.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png
POR,1630166,Deni Avdija,AST,6.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png
POR,1642270,Donovan Clingan,REB,11.6,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642270.png
NOP,1630530,Trey Murphy III,PTS,21.5,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630530.png
NOP,1627749,Dejounte Murray,AST,6.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1627749.png
NOP,1642490,Josh Oduro,REB,7.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1642490.png
CLE,1628378,Donovan Mitchell,PTS,27.9,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1628378.png
CLE,201935,James Harden,AST,8.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png
CLE,1630596,Evan Mobley,REB,9.0,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1630596.png
SAC,203897,Zach LaVine,PTS,19.2,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png
SAC,201566,Russell Westbrook,AST,6.7,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png
SAC,1627734,Domantas Sabonis,REB,11.4,2025-26,https://cdn.nba.com/headshots/nba/latest/1040x760/1627734.png
